|href|title|price|description|memory|ram|sys
0|https://www.avito.ru/moskva/telefony/iphone_14_pro_128vse_tsveta_2677301685?slocation=107620|iPhone 14 pro 128(все цвета)|82000|IPhone 14 pro 128. Новые. Запечатанные. Оперативно доставим до вашей точки 24/7. В любое время суток, сэкономив ваше время. Подарим стекло и чехол. Поможет перекинуть данные. Выкупим ваш старый телефон. Хорошего дня.|128|6.0|ios
1|https://www.avito.ru/moskva/telefony/iphone_13_pro_256_gb_graphit_novyy_2615471814?slocation=107620|iPhone 13 Pro 256 GB Graphit Новый|74990|Новый Оригинальный активированный Apple iPhone с гарантией и доставкой! IPhone 13 Pro 256 Gb — 79990 ₽. Цвет: Графит. Вашему вниманию представлена исключительно оригинальная продукция Apple. Все модели iPhone Вы можете найти в нашем профиле, по телефону или в личных сообщениях! Наличие и стоимость уточняйте у менеджера! Почему Выгодно Купить Айфон В Apple Inc.? 1. Все телефоны оригинальные, запечатанные, в коробках, с полным комплектом аксессуаров, кассовым чеком и гарантией! 2. Oперационная система Iоs! 3. Регистрируются с Аррlе Id! 4. Официaльно руcифицированы! 5. Все функции телефона полноценно работают! 6. Все симкарты работают! 7. Скачиваются приложения всех банков! 8. Выдаётся кассовый чек и гарантийный талон! 9. Доставка до двери, Помощь В Активации! 10. Предоставляется. Гарантия на бесплатное сервисное обслуживание сроком на 2 года! Гарантия 2 недели на обмен в случае брака! 11. Защитное бронестекло и силиконовый чехол в подарок! 12. Быстрое оформление заказа! 13. Оперативная доставка и вежливые курьеры! 14. Самовывоз в центре Москвы! 15. Продаём оригинальную технику Apple более 7 лет! 16. Лучшее качество и высокий сервис! 17. В случае брака или заводского дефекта наш магазин сделает быстрый обмен — Вы можете быть спокойны и уверены в гарантийном обслуживании после покупки! 18. Все наши покупатели очень довольны покупкой и возвращаются к нам снова и снова! Условия Покупки И Оплаты: Перед покупкой и перед оплатой Вы открываете упаковку, включаете и проверяете телефон! Для удобства наших покупателей создана курьерская служба, наши курьеры работают давно, покажут Вам, как проверить телефон на оригинальность на официальном сайте Apple, также при необходимости сделают настройки телефона, перенос данных, создание Apple ID и окажут любую помощь! Оплата после получения и проверки! Доставка по Москве от 1-2 часов и по Московской области от 3 часов! Для постоянных покупателей предусмотрены скидки и подарки! Подпишитесь на наш интернет магазин оригинальных смартфонов Эппл, добавьте объявление в избранное, чтобы быть в курсе новостей и выгодных предложений и акций! Звоните или пишите прямо сейчас, чтобы купить новый оригинальный Айфон с курьерской доставкой и гарантией 2 года! Если не дозвонились, напишите сообщение — наш менеджер свяжется с Вами в ближайшее время! Звоните с 8:00 до 21:00, с радостью ответим на любые вопросы!|256|6.0|ios
2|https://www.avito.ru/moskva/telefony/iphone_11_pro_256_gb_vse_tsveta_original_2742923842?slocation=107620|iPhone 11 Pro 256 Gb все цвета / оригинал|37990|Друзья, прежде чем звонить и писать, ознакомьтесь, пожалуйста, с описанием объявления! Доступен видеообзор, листайте вправо, 2-й слайд! IPhone 11 Pro 256 Gb — 37 990 руб. Оригинал, в заводской плёнке, запечатанный в коробку с полным комплектом. Работают все функции без исключений. Sim-free, работает с любым оператором связи. Официально русифицированы. Поддержка всех последних обновлений ios. Можно проверить на официальном сайте Apple. Ref, проверен про 34 пунктам. Телефон выглядит абсолютно как новый, отлично подойдет в качестве подарка! Остерегайтесь недобросовестных продавцов, многие продают восстановленные по видом новых! Почему мы: 5 лет на рынке восстановленных смартфонов, мы отобрали лучших поставщиков и лучшие телефоны. Мы уверены в своих устройствах, у вас есть целых 7 дней на обмен и гарантия до 1 года! Быстрая доставка в течение дня. Комфортный самовывоз рядом с м. Савеловская. Приветствуем любые проверки (можно распаковать и активировать). Доступна оплата кредитной картой (+3% комиссия). Активация/настройка/установка приложений. Подарок для каждого клиента! График работы — ежедневно с 10:00 до 20:00. Ждем ваших звонков! Артикул: N77i76c58901728.|256|4.0|ios
3|https://www.avito.ru/moskva/telefony/iphone_14_pro_max_256_vse_tsveta_2663571381|iPhone 14 pro max 256 (все цвета )|98000|Бесплатная Доставка по Москве. IPhone 14 pro max. Новый! Оригинальный. В подарок защитное стекло и чехол. Выгодный trade — in обменяем ваш старый телефон с доплатой на новый прямо у вас и вам не нужно никуда ехать. Поможем перенести данные. Отправка в регионы. Подпишись, что бы не потерять нас.|256|6.0|ios
4|https://www.avito.ru/moskva/telefony/galaxy_s20_fe_snapdragon_sm-g780g_2900371359|Galaxy s20 fe Snapdragon SM-G780G|20000|Продам отличный смартфон в отличном состоянии. Ни сколов ни царапин, сзади до сих пор заводская пленка. Телефон на снапе, что в разы лучше версий на эксинос, которые в основном у нас и продавались, как по батарее так и по быстродействию. Комплект на фото, зарядка быстрая. От всего абсолютно отвязан. Срочно, без торга. В продаже до понедельника.|128|6.0|android
5|https://www.avito.ru/moskva/telefony/iphone_8_2646904817|iPhone 8|6990|IPhone 8. Не восстановленные! Примем вашу технику в зачет стоимости новой! IPhone 8 64GB — от 6 990. Сколы у лотка. Гарантия от 2-х недель до 3-х месяцев на проверку, далее Год сервисного обслуживания! Оригинальные экраны и корпуса на наших телефонах. Любые проверки перед покупкой — Приветствуем! Терминал для оплаты банковской картой! Доставка в пределах Кад Бесплатно! Кредит и Рассрочка от 10 банков. Купим ваш телефон / трейд-ин. - Больше о нас Вы можете узнать в нашей группе вконтакте и Инстаграм. - Более 500 положительных отзывов в интернете! - Если телефон окажется не оригинальным — вернем деньги! Наши магазины расположены в Москве, Санкт-Петербурге и Самаре. Наш адрес в Москве: м. Багратионовская, ул. Барклая, д. 10. Торговый Центр Багратионовский, 1 этаж, секция А-21, вход с парковки. Магазин Miraphone. Подробности уточняйте у продавца. Звоните!|64|2.0|ios
6|https://www.avito.ru/moskva/telefony/telefon_iphone_11_64gb_red_2850278571?slocation=107620|Телефон iPhone 11 64gb red|23000|Продам телефон в отличном состоянии: все работает как надо, аккумулятор держит заряд, на экране — защитный экран Remax (илюбые проверки на месте. Не вскрывался. Без сколов и дефектов. Спользовался с защитным стеклом). Полный комплект: на фото. Ростест.|64|4.0|ios
7|https://www.avito.ru/moskva/telefony/iphone_13_pro_max_zelenyygreen_novyy_2798345309?slocation=107620|iPhone 13 pro max зелёный,green новый|84000|Iphone 13 pro max новый, запечатанный с гарантией. О телефоне. — 256 Gb, Гб. — Зелёного цвета, Green. В наличии большой ассортимент есть разные цвета и объём памяти данной модели. Голубой, Зелёный, Золотистый, Серебристый, Серый, Blue, Green, Gold, Silver, Grey. Также спрашивайте про другие модели. У нас большой ассортимент. Покупая у нас вы получаете! — Гарантия в 1 год. — Обмен в течение 14 дней. Если что то не устроит. — Кассовый чек и гарантийный талон. Доставка. — Оплачиваете после проверки. — Бесплатная доставка по Москве до двери. — Можно оплатить наличными или картой.|256|6.0|ios
8|https://www.avito.ru/moskva/telefony/iphone_14_pro_max_512gb._vse_tsveta_v_nalichii_2533646462|iPhone 14 Pro Max 512Gb. Все цвета в наличии|113990|Акция: обменяй свой старый смартфон на новый и получи хорошую скидку по программе Trade-in. При покупке смартфона — беспроводные наушники, часы и аксессуары по специальной цене. Салон связи «В сети» приветствует вас. Мы занимаемся честной продажей и trade-in (обменом) смартфонов и портативной электроники уже 9 лет. Оригинальная продукция. Официальная гарантия. Apple iPhone 14 Про Макс 512 Гб. Цвет: Фиолетовый (Deep purple). Все цвета в наличии. ℹ Смартфон абсолютно Новый, запечатанный, оригинальный, не восстановленный. Установим Сбербанк и Альфу. Быстро перенесем ваши данные со старого устройства на новое. Любые проверки перед покупкой. Предоставляем товарный и кассовый чек. Широкий ассортимент аксессуаров. Скидки постоянным клиентам. Экспресс-доставка по Москве и МО в течении 3 часов. Доставка по всей России. Мы гарантируем оригинальность всех наших товаров и дорожим своей репутацией. Мы всегда с вами на связи, готовы проконсультировать и помочь вам в любой момент. Остерегайтесь мошенников. Адрес магазина: метро Савёловская, ул. Сущёвский вал, 5с20, ТД Савёловский, павильон L-0. Цена указана за смартфон в модификации: 2 esim, без физической сим-карты (США). Так же в наличии есть для разных стран (с 1 физической сим-картой + esim или на 2 физические сим-карты). Актуальную цену уточняйте у менеджеров.|512|6.0|ios
9|https://www.avito.ru/moskva/telefony/iphone_8_plus_2712947035?slocation=107620|iPhone 8 Plus|9500|IPhone 8 Plus, идеальное состояние, Акб 100%, Цена: 9500.|128|3.0|ios
